Country Name,Country Code,Series Name,Series Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Cayman Islands,CYM,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",EG.USE.COMM.GD.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.03,6.99,6.94,7.21,7.39,7.33,7.19,7.11,6.94,6.89,6.76,6.68,6.25,9.3,9.55,9.4,9.12,8.8,8.56,8.39,8.4,8.41,8.31,..
Central African Republic,CAF,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",EG.USE.COMM.GD.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,58.5115148000824,58.7240412392228,56.5609809243849,55.7254669747147,55.3611117823006,55.4502229184027,56.2763230892869,51.8080504922607,53.582587410516,54.0443915881664,54.2682145441051,55.0748969895554,54.3457320247224,53.9768068771772,53.6476930540348,53.7491927730406,55.6527370598107,55.4507800900455,59.1695838943387,58.8973930910492,58.6249807168201,58.2413699174722,57.4587937782808,58.0797129260055,56.886193323475,57.3156294758996,59.4213238021218,57.9321807903413,56.1653654398389,57.6381538785853,56.0499061441955,55.2578719308761,56.087171867261,56.8340859444116,55.197686078552,53.8648983606268,53.2438211915452,55.0559676048803,53.072061660344,51.1579078976583,49.6177022494059,50.3446213682458,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,5.84725354299964,5.76895036077483,4.93331438476807,5.56251663647364,5.34481975107004,5.61508931100989,6.08274288816968,5.89790171671828,5.09953424586589,4.57644220588238,4.46189165771608,4.82993854380374,4.14467539463551,4.40230271931114,5.07951223974062,4.72201268059157,6.94089492095105,8.22782377220506,7.53273065333077,8.23295235649159,8.95176633928112,9.86161929231728,9.64465923324817,9.69066625729199,10.5515193511593,10.6637241433067,9.34513868054456,9.20002374494278,9.17739176983483,7.4686318341319,9.39858587697737,10.3679403973937,9.50291380818395,8.19339798660813,8.80254986391176,9.80029373756797,11.4637024289256,7.95841507296245,7.87982419584205,9.91189854644458,10.6711593025786,9.13311161688085,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,9.63068865197821,10.0417302742745,10.2993809434693,8.86726366839359,8.14785907232559,7.96542842685032,9.93425678322713,12.2928628984326,12.5135156412154,11.5600059162915,10.8857681535712,9.42005657564654,9.34253557008297,8.44953836738917,8.84051558820132,8.93057897063448,10.072212976052,9.80265908118991,8.17028915817144,7.59496596892256,7.55206458579729,7.22136741439856,7.7094289496054,5.92689783543138,6.31529066624757,6.63967729677589,6.7756330452079,6.93649141072358,7.78535881651114,8.06591157624759,8.30006112548933,8.53715388102251,9.00782987153952,9.38939971404972,8.89123895073016,7.66694746684426,8.25779326443852,8.51630771167504,8.41428258413208,7.40056521167414,6.19820021673234,7.10130835653038,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0.492114547336556,0.889202774497206,1.64010959988219,1.72379099899607,1.60851917689936,2.25008896500382,2.77037354535124,3.70506877360025,4.22862088800778,5.17216746897035,5.85734663223092,7.3087047285962,8.41984383187537,10.0582500700152,11.5585847563358,11.5182271504131,17.3329712239067,17.4620525954151,17.2917868820927,17.4901759342494,17.2959839563943,17.5595522933799,18.0750934702257,18.6446979582438,18.8887222019817,18.5466662769285,19.1532939139309,19.9996346931879,21.7864385096605,21.4375118028625,21.2833751674448,20.7779875956802,20.4109892194366,19.7194584554492,21.325406790087,22.1216144099006,19.3525988907537,19.6500319964751,20.276552141915,20.0311707124642,20.549931382455,13.653416742317,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,8.28833659463939,7.35108897121732,9.35747303663219,10.8890825543451,12.3179633509763,11.5068798469704,7.71365515869269,9.07783444466371,7.35814707878889,7.41439417788257,7.28140948893208,6.11123201693101,6.50143834198209,5.91513970065447,3.70163868497227,3.91101064069787,6.49336480899888,5.95410274028551,4.85888311854844,5.44625658148196,5.10567182598858,4.8257787135674,4.83890445081655,5.23008136321768,5.18253406961321,4.66443541550963,3.18418373252762,3.81174826707581,2.93241030154287,2.92425526682155,2.13202238666857,1.91177765890484,1.82205220616905,1.78110967157646,1.57407329384106,1.83519822875364,1.38953968835462,1.10865163706556,1.01177612895742,0.804273362405879,0.67820418082285,0.854239359116117,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,76.4305400467,76.1168604847146,76.2178349044864,75.4818131974534,75.8269342056024,74.9225311922234,73.9242350312067,73.178747835357,73.4542501305203,73.0187916823404,72.4353921866084,70.606185582133,70.1897059367875,68.3414849452208,66.1898473272084,66.590782384373,72.2183148448616,71.2075419115209,72.1987561710585,71.9386156414537,71.2827171286059,70.2885160454381,70.0071271787027,69.2366921246546,68.3840180593358,68.6197421881851,69.3811405798573,68.6804204681407,66.8831345578929,68.6283207216545,66.4819896563534,65.7068034708034,66.9170539449696,68.0045953300378,65.6629983231232,63.3670440562247,62.8911541443383,64.6809269536208,62.4981203734335,59.3627464717383,56.4941066469611,58.3001690838923,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.0817870711627233,0.0684501223709998,0.0552642343543436,0.0761594889519771,0.0710797814720243,0.0648518495978044,0.0642826196900362,0.0699314833074984,0.0685818774191543,0.0885636736089715,0.0872305915845271,0.0994207365119649,0.0883476212450854,0.0476067581541608,0.0254107046666341,0.0232397477955613,0.0192660784709697,0.0281091885814229,0.0423158299673014,0.0721715679979453,0.108757134776572,0.133497260115976,0.116023839347236,0.177502302732576,0.215502358619737,0.24188126625939,0.213790806286631,0.296126834525147,0.304627710007122,0.347168850104744,0.621659231899702,0.953633107976016,1.12505664274499,1.50417395169033,2.0689204789632,2.89856350862027,3.75968034623478,5.23441352034661,7.08780326432061,8.03518884579982,9.82835918968819,11.1197397915062,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,235000000,211000000,183000000,265000000,262000000,240000000,248000000,269000000,269000000,362000000,372000000,427000000,392000000,216000000,116000000,107000000,83000000,117000000,165000000,281000000,423000000,544000000,490000000,740000000,905000000,993000000,905000000,1297000000,1343000000,1581000000,2868000000,4439000000,5338000000,7175000000,9821000000,13144000000,17652000000,24948000000,32995000000,37275000000,45620000000,51691000000,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,11.6680405654189,13.0181937520014,14.5040664583265,16.2729461408326,17.6060821421612,18.6641608188939,21.9581649552474,24.1535600261585,20.2341511381252,18.8966914527013,17.7644928251179,19.8603298127655,20.6817766595707,22.3046570160586,22.0015945292651,24.1067052146415,31.1728448356792,29.0842450425409,26.059306597851,26.4111306923184,25.1573864204989,26.6886589549957,28.2014168851046,26.9887793917212,29.8851198510429,30.1721295471558,29.6515086368892,30.4069703617434,29.6296735756437,31.2180441502803,31.6668789072397,33.404633424273,35.1732284210682,37.2053677010303,37.1631745073899,34.7237487132016,37.6959266427568,36.4626705476489,33.7213063804636,33.9739168122019,33.889935902036,35.5036638323212,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.11946233189826,6.09340572036518,5.91050725478976,5.86436464964139,5.53617629460053,5.34617841134073,5.14324724420729,4.82913751553183,4.62095101116443,4.45149671465104,4.58872820171107,4.42195627559871,4.25322931387057,4.14161816753101,3.91725852979699,3.81350110334637,3.78678649035513,3.75198857695528,3.63853534448665,3.41968536135227,3.41085494076684,3.40270149526165,3.15064546282002,..
Central Europe and the Baltics,CEB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2785.94966619656,2925.6647144417,3055.99119837851,3195.30598842452,3347.35221985556,3407.48630027493,3404.42305286129,3265.24599555413,3338.93989143273,3321.96628585096,3291.90883112907,3367.00752280309,3434.53758503658,3516.41453538279,3497.11507575306,3371.98483191947,3089.52494099679,2832.54230782158,2624.11439957918,2609.57896374113,2502.91713643051,2609.64390544309,2697.21847681768,2642.39189238823,2519.73159789869,2394.87290001717,2376.47106686069,2456.95267754914,2484.39320880618,2570.98370578595,2579.47448153663,2617.57646936408,2690.90888583771,2696.75490925362,2706.4490452995,2527.35147431345,2634.98393198861,2637.75999544147,2566.28468281465,2512.23681674295,2471.42286401308,..,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,97.5283394766601,97.5478641117396,97.4630196133448,96.9485330566004,97.247835293646,97.48717968997,97.1135525447165,96.5574289587114,96.5566889790658,96.2190621767041,95.7460392601338,95.0189374509995,94.5120246124903,94.0274694849898,93.297837390067,93.2247228893279,89.2533050503207,88.7439905576003,88.5218342482639,87.6597190815853,86.966547169346,86.7928836368446,86.35280843859,85.7168748087404,85.4516827217712,85.160673086187,84.7425521581851,84.6757261138138,83.9113113724698,83.9507514192333,83.267906992603,83.18497664384,83.3917407186332,83.0688831262322,81.7059852500427,79.8839125814673,80.2549198509236,80.0957632101565,78.5667277580561,77.7076786589043,76.2453637707573,79.3637383740291,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.68068470565848,5.5370670548158,5.69879375958066,5.74905436752046,6.21395087141367,6.31015060715403,6.39276946196796,6.64143780960336,7.14771883292092,7.65940728535979,8.06747194664131,8.102207490918,8.35746941476,8.42036070512008,8.92717927855522,9.2516665608112,9.62334127471213,10.2467737948786,10.6839528514045,11.0602427827309,10.7823887045159,11.1922448612151,11.6355884635824,11.9871594597925,12.6133156508329,..,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",EG.USE.COMM.GD.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,176.035117563189,180.601027601835,175.475730863014,173.941649543192,160.928211486246,158.47482290934,156.426726467962,150.569805615589,139.904775687903,130.558405206027,123.954568000243,123.423153643119,119.653444167431,118.759758045987,112.017465853093,108.088633915522,103.914011927205,97.5916927628289,93.5983164572408,90.4139284863948,92.7438276808903,89.3475806149787,85.943225229205,83.422599270012,79.2812950759673,..,..,..,..,..,..,..,..,..
Chad,TCD,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.55,6.9,6.48,6.03,4.59,4.33,4.38,4.38,4.21,4.38,3.92,3.95,3.91,3.89,3.71,3.7,3.94,4.07,4.06,3.95,4.13,4.34,4.2,..
Chad,TCD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
